	SCR_0pt5mM_A	SCR_0pt5mM_B	SH1_0pt5mM_A	SH1_0pt5mM_B
ENSMUSG00000000346.9|Dazap2	7.35155539473158	7.31112888349225	7.97243222885619	8.07185373511537
ENSMUSG00000000355.13|Mcts1	4.4405525723871	4.67457841670142	4.63264317689235	4.70202168647418
ENSMUSG00000000374.8|Trappc10	5.92097020321391	5.95916266047351	5.34200076033912	5.25612715958382
ENSMUSG00000000378.15|Ccm2	5.20282891515208	5.15534368340114	4.46041976352756	4.51387747561981
ENSMUSG00000000384.15|Tbrg4	5.70755677075666	5.57959774886877	5.20657458185501	5.19086651798854
ENSMUSG00000000385.8|Tmprss2	6.57814103577164	6.64720661593172	8.96935180276461	8.96815850024976
ENSMUSG00000000386.15|Mx1	0.531397613841638	0.4286497655998	3.8676144114231	4.13348654431952
ENSMUSG00000000399.10|Ndufa9	6.62152905584944	6.59116586365427	7.03398231392117	7.04813410010178
ENSMUSG00000000409.14|Lck	2.69722115407226	2.50450173492526	-0.172155544261997	0.257435774909779
ENSMUSG00000000420.15|Galnt1	6.92074978591944	6.96171987890891	7.13044763110322	7.09913493939061
ENSMUSG00000000439.9|Mkrn2	5.21601972467165	5.08480463648133	5.35766685254613	5.28906217894516
ENSMUSG00000000440.12|Pparg	6.12835660518555	6.23011822913031	6.11351205584371	6.20692698895041
ENSMUSG00000000441.17|Raf1	6.84154525396836	6.71625593870945	6.86667343722545	6.88546779719967
ENSMUSG00000000486.13|Sept1	0.116187941765631	-0.0450832850781973	0.590421508514363	0.738204327750092
ENSMUSG00000000489.7|Pdgfb	5.55941775295087	5.4530823436489	4.27563878850103	4.38220803784081
ENSMUSG00000000531.5|Grasp	4.47001927577866	4.60774530740569	4.46041976352756	4.42712488038322
ENSMUSG00000000532.11|Acvr1b	5.68579255231323	5.54011627886818	6.9666539155874	6.87465919050012
ENSMUSG00000000538.18|Tom1l2	6.29395677343613	6.1978010576179	6.30668734653248	6.19977922828982
ENSMUSG00000000544.14|Gpa33	3.52195432111848	3.38481298292049	4.31499490265802	4.27647175367546
ENSMUSG00000000552.10|Zfp385a	3.77239466880659	3.69907877043278	4.53850701655681	4.68341963181786
ENSMUSG00000000555.8|Itga5	5.39965115620871	5.37577624026958	5.70936788646294	5.76988822262568
ENSMUSG00000000561.14|Wdr77	7.43591859331594	7.53597255571668	6.70471944634905	6.73287572653926
ENSMUSG00000000563.17|Atp5f1	8.09517880519355	8.05569800560108	7.88342494951769	7.96126172608154
ENSMUSG00000000567.5|Sox9	5.95228040784956	6.09486723238838	7.01340747189996	6.98272799085452
ENSMUSG00000000568.15|Hnrnpd	6.55156488106541	6.69928669863118	6.7395555705866	6.73503895957878
ENSMUSG00000000579.14|Dynlt1c	2.28883898810253	2.58755669746125	3.57072493446995	3.54101574444351
ENSMUSG00000000581.8|C1d	4.68259533873923	4.87704857917209	5.30247423188936	5.28332963916315
ENSMUSG00000000594.7|Gm2a	4.53790488993913	4.68568796133963	4.96039269180938	5.00257252996898
ENSMUSG00000000600.15|Krit1	6.13834225193053	6.21271160881432	5.40240318354634	5.38224862854344
